151	MPC1	0.417	0.428	0.656	0.472	0.579	0.509	-0.121
152	YGL082W	0.338	0.254	0.194	1.01	0.381	0.355	-0.384
153	GUP1	0.204	0.168	0.509	0.398	0.548	0.614	-0.131
154	MAD1	0	0.111	0	-0.453	-0.334	-0.222	0.248
155	YGL088W	-0.823	-0.678	-0.939	-0.86	-0.472	0.322	-0.036
156	LIF1	-0.363	-0.238	-0.191	-0.232	0.014	0.531	-0.054
157	YGL176C	-0.162	0.512	0.122	0.022	-0.017	0.322	0.37
158	MPT5	-0.263	0.084	0.166	0.256	0.295	0.934	0.749
159	ATG1	-0.91	-0.649	-0.368	0.248	0.087	1.115	0.196
160	YGL182C	-0.7	-0.72	-0.716	-0.825	-0.661	-0.115	0
161	STR3	-1.561	-2.027	-1.17	1.084	0	1.144	-0.287
162	TPN1	0.523	0.547	0.41	0.14	-0.116	-0.013	0.27
163	SEC9	-0.314	-0.314	0.02	-0.072	0.109	-0.375	-0.621
165	SNU71	-0.175	0.21	-0.079	-0.137	0.132	0.315	-0.051
166	YGR015C	0.163	0.131	0.157	-0.03	0.054	0.443	0.265
167	YGR017W	-0.222	0.3	0.087	-0.126	0.284	0.778	0.3
168	UGA1	-0.883	-0.955	-0.725	0.045	1.101	1.357	0.296
169	VMA21	0.741	0.545	0.942	0.298	-0.112	-0.407	-0.21
170	YGR107W	-0.138	-0.637	0.305	-0.666	-0.684	0.248	-0.394
171	CLB6	0.99	0.69	0.303	-0.639	-1.176	-1.122	0.149
172	YGR111W	0.228	0.274	0.367	0.04	0.575	0.664	-0.19
173	DAM1	0.188	0.265	0.418	-0.087	0.017	0.103	-0.415
174	YGR115C	0.145	0.174	0.457	0.003	-0.305	-0.701	-0.98
175	YGR201C	-0.563	-0.706	-0.332	-0.49	0.398	2.156	0.303
176	YCH1	0.466	-0.17	0.124	-0.661	-0.105	0.948	0.437
177	TDA10	-0.333	-0.222	-0.112	-0.181	0	0.09	-0.17
178	CIR1	0.237	0.456	0.69	0.473	0.405	0.483	0.13
179	TRX2	-0.487	-0.36	0.755	1.607	0.666	0.883	0.076
180	ZPR1	1.032	0.952	0.761	-0.135	-1.379	-0.521	-0.178
181	RPL14B	1.312	1.228	0.818	0.216	-0.817	-1.426	0.211
182	LAG1	0.673	0.818	0.767	0.323	-0.039	-0.254	0.48
183	YHL005C	-0.129	-0.144	-0.138	-0.35	-0.31	0.158	-0.149
184	STE20	0.375	0.26	0.12	-0.142	-0.106	-0.227	-0.294
185	YAP3	0.163	0.067	0.109	0.101	0.081	-0.016	-0.399
186	PRS3	0.986	1.257	0.653	0.227	-0.231	-0.296	0.252
187	INM1	0.594	0.97	0.425	-0.043	0.184	-0.479	-0.059
188	YHK8	0.234	0.568	0.415	-0.061	-0.3	0	0.678
189	SMF2	0.427	0.592	0.364	0.064	-0.12	0.285	0.614
190	CIC1	1.152	1.008	0.68	-0.467	-1.184	-1.408	-0.055
191	YHR054C	0.516	0.382	0.185	0.017	0.009	0.248	0.641
192	RSC30	0.332	0.322	0.069	0.11	0.015	-0.045	0.443
